index,Review,Sentiment
91,kopi tiada duanya mantap bapa gk mau yg lain selain kopi kapal api ,positive
92,apapun susananya tetap kopinya kapal api nikmatnya mantap,positive
93,the best noodles ever tried my favourites are beef and the spicy ones ,positive
94,sy baru beli sgm bundany blom di coba mudah hn sy suka ,positive
95,susu yg mendukung pertumbuhan dan pola pikir yg kreatif ,positive
96,wafer enak dan gurihwafer favorit,positive
97,mataaaaplah rasane ,positive
98,susunya enak saya minum prenagen selama kehamilan tapi service after salesnya tidak memuaskan mengajukan pertanyaan yg sama sampai 2x tidak ada jawaban merasa kecewa sbg pelanggan ,negative
99, pakain saya jadi ilang warnanya,negative
100,sebuah pencapaian untuk lebih selaras dengan lingkungan,positive
101,putri qu bgitu menyukaih bila belom abis 2 bungkus belom berhenti makan ,positive
102,nabati waper coklat yg ku suka ,positive
103,s26 memang pintar nya beda tidak nyesel deh anak saya minum s26 procal gold,positive
104,its e i i u s,positive
105,rasanya enak murah anak 2suka sekali,positive
106,sgm cocok buat anak saya dari usia 0bulan sampai 3tahun 6bulan sekarang bb nya 21kg alhamdulilah sehat dan cocok harga terjangkau,positive
107,yang merekomendasikan saya menggunakan susu procal gold dari tahap 1 3 sekarang anak usia 1y7m8d adalah nutrisi dan kandungan susu nya yg lengkap terutaha dha perkembangan otak anak yg sangat bagus dan terutama anak saya cocok mengkonsumsi s26 procal gold anak saya tumbuh cerdas dan aktif,positive
108,rasanya enak apalagi coklatny terus ad hadiahny,positive
109,nabati jajanan favorit kuh dari dulu,positive
110,indomie bulgogi,positive
111,apa bnr pop mie lg bagi hadiah mobil tlong ksh tw info nya krna tmn sy mndapat kn kupon hadiah yg bertulis kn dpt mobil ,positive
112,makanan cemilan favorit saya apalagi nabati white enak nya nya luar biasa the best pokonya,positive
113,siang bunda saya mau tanya kmarn saya ke apotik ada jus prenagen tp aku bingung si penunggu apotik jg bingung ni jus untuk bu hamil apa menyusui krn ada tulisannya cm mengandung asam folat,negative
114,m5t783el 0 nabati susu vanila,positive
115,harga nya ko naik terus ,positive
116,semenjak anak saya ganti susu hanya child school yg dia suka thx morinaga ,positive
117,nutrisinya sangat lengkap sesuai dengan kebutuhan anak dan rasanya yang gurih sangat disukai anak paket komplit pokoknya ,positive
118,ya karena nutrisinya bagus,positive
119,sebelumnya anak saya bbnya kurang dikasih susu apa saja ga mau setelah dikasih susu s26 gold anak suka banget bbnya mulai naik alhamdulillah ,positive
120,sgm bunda enak susunya,positive
121,min saya mau stok indomi semua rasa di toko sayabisa gk minta contact yang bisa di hubungin buat pesen indominya,positive
122,legend selalu beli varian barunya ga ada yang bisa nandingin indomie lah ,positive
123,fitbar cokelat lbh mantap ,positive
124,enk skli guru lezat,positive
125,enaknya nabati ini sangat renyah dan gurih,positive
126,alhamdulillah arief sekarang udah bisa tengkurap sendiri tanpa dibantu usianya pun baru 2 bulan 23 hari dan beratnya sekarang 6 3 kg bunda,positive
127,kopi kapal api kopi no 1 nya indonesia sukaak banget ,positive
128,susunya sangat disukai anak anak saya sejak lahir sampai sd saya selalu memberikan s26,positive
129,indomie top deh mie dan rasa nya mantap wangi bumbunya menggugah selera bawa anya pengen makan indomie teruzaku dan keluarga ku cinta indomie,positive
130,indomie selalu ada buatku di saat susah dan senang tanpa memandang materi jadicurhat salah satu kebanggaan juga kalo denger orang luar negeri suka sama indomie karena orang indonesia pun gak bisa lepas dari indomie sepertinya hahaha pokoknya indomie seleraku ,positive
131,rasanya jebret banget di lidah yummi my indomie,negative
132,pertama kali coba sgm bunda disaranin sama temen saya pas nyoba ternyata rasanya enak dan ga bikin eneg kandungan nutrisinya juga lengkap ga salah deh pilih sgm bunda,positive
133,memang sdh terlampau byk merk kopi tpi tau knp kopi kapal api aromanya sngat khas dan sy stiap hari minum kopi kapal api kopi hitam ,positive
134,suka nabati nya apalagi yang coklat hampir tiap hari beli nabati ,positive
135,anakq robbian syah mengkonsumsi morinaga mulai dr bmt hingga saat ini chil kid kemampuan otak dan keaktifan luar biasa hebat padahal ank saya lahir premature loohhh tp dbantu asi yg baik dan morinaga chil kid membuat anak saya jd tumbuh sehat dan aktif ,positive
136,trimakasih prenagen setia menemani hariku dihamil pertama dulu dan lanjut yg kedua ini ,positive
137,saya paling suka dong nabati pada saat santai selesai belajar terus lanjut makan nabati waktu jam keluar main hhhmmmm kejunya gurih dan mantab kami punya kesukaan masing masing dalam satu keluarga loh ,positive
138,sebelumnya saya mengucapkan banyak terima kasih kepada wyeth nutrition s26 karena komplain saya soal produk promil gold s26 direspon dan ditanggapi dengan baik terima kasih wyeth nutrition ,positive
139,mereka adalah 12 peternak muda terpilih untuk berguru langsung tentang ilmu peternakan dari peternak sapi perah di belanda melalui program young progressive farmer academy ,positive
140,cemilan favorit anak saya dr yg wafer choco roll smua deh tiap hari nyemil nya nabati ga bosen2 aplg anak saya ikutan lomba momentbermainnabati alhamdulillah pemenang utama periode 2 perdana ikutan kuis langsung menang makasih ya nabati ,positive
141,mantap rasanya pengen ikut,positive
142,saya sangat menyukai kapal api sudah lama sekali karna kapal api rasanya pas bgt dngn selera kluarga dan menjadi teman pagi dan malam apalagi pelanggan saya selalu suka kapal api maknyos,positive
143,susu sgm bunda yang rasa coklat enak tidak membosankan,positive
144,karena nabati enak sekali,positive
145,anak generasi platinum sang juaraalhamdulillah anak pertama saya lahir pada bulan februari 2014 bernama ibrahim muhardiansyah anak saya kuat sekali minum susunya jadi selain saya berikan asi saya juga berikan susu formula bmt morinaga platinum alhamdulillah anak saya suka dan tidak mencret karena minum susu bmt morinaga platinum anak saya perkembangannya cepat dan pintar makanya saya terus memberikan susu bmt morinaga platinum sampai sekarang terima kasih morinaga plat lihat selengkapnya,positive
146,rasanya enak gurih terjual dimana mana,positive
147,pw mo tanya dong kalau minum susu pw esensis di tambah dengan folavit 400mg boleh tuh ,positive
148,thanks indomie karna sudah keluarin varian real meatdari seluruh indomie real meat yang saya cobainrendang masih duduk di peringkat teratas soal rasa untuk 2 varian baru dari indomie realmeat telur balado dan empal goreng kayanya mesti ada riset lagi di bagian telur balado karna rasa balado nya di saya gak ada udah makan 2 kali hanya pedas tipis dan terlalu berminyakdan telor nya juga keras tapi masih bisa di makan lah ya lihat selengkapnya,positive
149,berjuta akal sehat setiap hari,positive
150,makyus ,positive
151,sejauh ini sangat bagus ,positive
152,aku penggemar berat indomie tp begitu hijrah ke jaipur 2 tahun makan indomie kangen banget kapan dong indomie nyampe jaipur india ,positive
153,enakkkk nya kopi mix kapal api tiap hari saya kopi,positive
154,saya anak saya paling suka wafer nabati rasany emang enak ,positive
155,kandungan nutrisinya sangat baik,positive
156,nabati wafer renyah yang bisa dinikmati kapan dan di mana saja,positive
157,akan mendapatkan hadiah yang menarik,positive
158,hai bunda tiwi kartika terima kasih sudah share dan sudah mempercayakan susu sgm bunda hamil dan menyusui ya salam hangat untuk keluarga di rumah semoga selalu sehat ,positive
159,cemilan yang enak dan mantap ,positive
160,ngopi kapal api tak jadi sepi,positive
161,sangat suka rasa enak renyah tiap hari beli tiada hari tanpa nabati,positive
162,saya tidak suka dengan taste of asia tapi tetap mencoba dan saya makan sampai habis aku lebih memilih yang asli rasa indonesia soto banjar sate sambal hijau penyet ,positive
163,nabati wafer renyah dan enak nabati cemilan yg pas dinikmati kapan saja dan dimana saja love nabati ,positive
164,kehamilan awalku pasti mual muntah alhamdulillah minum susu prenagen emesis bisa masuk setidaknya sedikit tenang ada asupan nutrisi baik untuk janin ,positive
165,variatif banged item nya,positive
166,susu yang sangat bagus untuk pertumbuhan anak,positive
167,nabati lezat chest mantap,positive
168,anak saya dr bayi udh pake bmt platinum sampe skrg saya pake chilmil platinum mngkin krn mp anak saya jrg flu demam dan batuk insaallah ga pernah tapi anak saya kok ga ba diem ya min pdhal dy cwek loh,negative
169,anak saya sangat cocok dengan s26 procal aktif cerdas engk gampang sakit saya sangat suka dngn produk ini engk mau pindah kelaein hti ,positive
170,makanan kesukaan jagoan2ku,positive
171,dear mp anakq sdh 3bln ini konsumsi chilkids gold awalx pupx keras tetapi lama kelamaan sdh lancar cuman berat badanx kok nambah2 ya pdhl makan dan minum susux lancar ,positive
172,susu s26 memang banyak nutrisi dan bagus buat perkembangan balita ,positive
173,kapal api jelas lebih enak ,positive
174,cokelat ya enak banget aku sampai katagihan kejunya enak juga jadi wafernya enak banget,positive
175,bagus sekali suka sip deh,positive
176,sapah kopi kapal api kita bentuk rancang jadi tikar semangat ,positive
177,anak sya suka banget sama nabati rasa coklat,positive
178,laz ez,negative
179,ingin mendapatkan leptop,positive
180,rasanya enak untuk dimakan,positive
181, anak generasi platinum sang juara ,positive
182,saya penggemar kopi kapal api dari th2005 sehari saja bisa 2 sampai 3 harga nya pun cukup terjangkau,positive
183,kopi kapal api harga terjangkaukualitas bermuturasa mantuljelas lebih enaaaak,positive
184,mantap,positive
185,tidak enakkkk,negative
186,rasa susu nya yg enak bikin anak aku suka dan lagi buang air besarnya tidak mengeras meski nyusu banyaj,positive
187,hd l9l10,positive
188,susu 26 emanx mantap hebatnya beda anak2 jadi aktif bangat banyak akalnya pinter dan bawel bangat anak saya 2 minum 26 dari kecil ampei skr yg lanjutan 4 promise gold pokoknya 26 top bangat dech ,positive
189,menurut saya kopi kapal api sangat istimewa dan kelebihan aromanya sangat luar biasalembut dan mantap dan aneh lagi setiap saya minum kopi kapal api selalu bikin status di fb semangat buat kopi kapal api selalu sukses dan sejahtera ,positive
190,penasaran saya selama ini pakai chilkid selalu dapat sendok kuning sedangkan tetangga dapat sendok warna merah sepele sih tp jadi penasaran juga apa ada beda nya ya untuk yg reguler ,negative
191,susu dengan nutrisi baik yang mendukung kecerdasan buah hati ku,positive
192,rasanya enak kebutuhan ibu hamil itu lengkap alhamdulillah dan harga terjangkau apalagi klo ada promo langsung beli banyak saya harga hemat bgt dg isi berat segitu gak kalah saing pokoknya,positive
193,buat saya kapal api grande white dan grande javalate luar biasa setiap mengawali pekerjaan di kantor selalu ada grande ,positive
194,rasanya enak dan coklatnya berasa,positive
195,semua produk nabati rasanya enak sekali harganya sangat terjangkau dan bisa dibeli dimana saja,positive
196,sangat lezat sekali ,positive
197,kopi sama hitam tapi kopiku kopi kapal api yg mantap manyuuus,positive
198,adminnya bot bikin males komen wowkwowk,negative
199,beda php dengan platinum apa ya ,negative
200,sgm sudah lama ada diindonesia jadi tidak takut lagi untuk masalah kwalitasnya,positive
201,anaku nggak doyan minum cucu tapi kalau milo mau tuuuuu ,negative
202,enak praktis dan bumbunya pas ga berlebihan spt mie yg lain ,positive
203,susu sgm bunda memiliki keunggulan bisa diminum dengan menggunakan air dingin solusi bagi bunda yang sedang hamil yang menginginkan minum susu dengan menyenangkan,positive
204,ayo waktunya kopi kapal api,positive
205,kopi kapal api lah yg selalu memberi ide di saat kita jenuh,positive
206,ena suka sekaliseperti maunambah lagi,negative
207,teman paling setia indomie tau bget yg kta mau varian rasany smuaaaa enk2 ap lg klo nyantapny bareng misua atw tmn2 gtu mkin maknyooozzz ,positive
208,enak tp klu hbs ngopinya suka kembung perut nya,negative
209, saya langsung muntah2,negative
210,ok,negative
211,kerenyahannya beda dari yg lain lebih krenyes krenyes hhmmm ,positive
212,mantaaap yeey yang pasti indomie goreng enak rasanyaaaa,positive
213,kalo untuk urusan kopi kopi kapal api lah yg yang lain gak deh semangat_kapal_api,negative
214,rasa kejunya nikmat banget,positive
215,mie nya enaakkkk,positive
216,rasanya yg nikmat aroma kopi yg khas,positive
217,anak generasi platinum sang juara april 29 2014 at 11 59pm,positive
218,harga terjangkau dan anak juga suka ,positive
219,ada aja ide kreatifnya setiap hari bangga sudah memberi si kecil s26 ,positive
220,mt ciang bunda sgm ,positive
221,nabati tu sanggat enak bnget anak sya aja suka bnget sma nabati ,positive
222,jos,positive
223,membuatku merasa tenang ,positive
224,sgm bunda rasa nya yang enak lebih suka strawberry dan cocok buat saya yang memang agak malas minum susu karena hanya 1 gelas 1 hari dan bisa pakai es batu lagi kandungan susunya juga sangat bagus buat pertumbuhan janin anak pertama saya sekarang berumur 5th 3bln dr bayi sampai sekarang masih minum susu sgm ,positive
225,alhamdulillah anakku ternyata suka dan yg paling penting cocok pakai s26 yg promil gold maklum setelah asiku makin lama makin kering akhirnya coba susu lain dan bertemulah dgn s26 ternayata dia mau cocok juga sampai sekarang,positive
226,dari pas tau hamil langsung mnum susu sgm bunda awal tkt enggak bisa mnum tau ya enak dan strus ya ampe lahiran ampe skrng juga kdang minum susu sgm,positive
227,mantap,positive
228,hai bunda andreas saksono terima kasih untuk kepercayaan menggunakan produk sgm semoga si kecil sehat selalu dan semakin pintar ,positive
229,bunda mau tanya anak saya lahir tanggal 3 mei 2016 karena asi saya sedikit saya kasih anak saya bmt platinum berapa kebutuhan cairan untuk anak saya umur 40 hari dengan berat badan 4200 gram terimakasih jawaban nya bunda ,positive
230,knp komposisi ultra plain yg kemasan baru berubah jd ada susu skim garam nya jd mikir2 lg deh buat ngasih ke anakq yg umur 2 5 thn mohon pnjelasanny,negative
231,waktu hari jumat tgl 27 oktober 2017 ada promosi dari susu sgm bunda saya biasa ny minum susu lact_m_l tp pas ikutan acara promo susu sgm bunda saya coba beli rasa coklat sm stroberi saya baru coba rasa stroberi ternyata enak baunya juga harum sampe mamah aku jg suka pdhl gx hamil tp ikutan minum bunda ny aja suka apalagi dede dlm perut pasti suka bgt ,positive
232,mantap kopinya setiap pagi kopi kapal api dulu biar semangat beraktivitas nya,positive
233,adminnya peduli ama komen,negative
234,enak sekali apa lagi yang coklat,positive
235,nabati memamang enak karena aku suka rasa coklat dan coklatnya berlapes lapis dan wafernya juga dan nabati juga bisa buat ngemil dan bisa dibawa kemana mana memang nabati sangat praktis,positive
236,andai gak begitu amis pasti lebih enak ,positive
237,mie nya kenyal kuah nya segar dan banyak varian rasa nya trus porsi nya pas mie nya egak enek pokok nya vaforit banget deh setiap pagi sarapan indomie egak pernah bosen indomie seleraku,positive
238,varian rasanya serta kelembutan dari setiap gigitan,positive
239,terima kasih 26 procald gold anak saya sesuatu banget ,positive
240,kapal api spesial mix minuman saya 3 kali sehari mantap luar biasa ,positive
241,terima kasih morinaga platinum anakku baby adzkyaa sangat aktif cerdas dan menggemaskan,positive
242,informasi kesehatan cara merawat buah hati,positive
243,wafer nabati itu kesukaan adikku terkadang adikku slalu gak mau makan kalau tidak ada nabati nabati richesse sukses slalu ,positive
244,rasanya enak dan gabikin mual saya suka rasa coklat ,positive
245,susuny mang bagus untuk tumbuh kembang si kecil ,positive
246,waktu bersama anak suami itu sangattttt dtunggu dgn kesibukkan suami kerja pulang mlm anak sibuk sekolah mengaji less mainnn pass kumpul bersama cocok ny qt cari suasana berbeda mnjdi qualitytime tentunya bekal dperjalanan anak jng lupa snacknabati yg selalu nahla minta jd waktu bersama menjadi lebih bermakna waktubersama,positive
247,makan semua 3 ramen dan semuanya bukan jepangramennya sangat hambarmakan ramen dan belajar di jepang atau minta jepang untuk menghasilkantidak mungkin jika kamu tidak melakukannya lihat selengkapnya,negative
248,dari anak pertama sampe ini menjalani anak ke 2 susu prenagen rasa coklat memang the best rasa mual yg sering di keluhkan ibu hamil hilang bayi juga sehat bergerak gerak puji tuhan dari awal pke prenagen gk mau berpaling tetap sukses ya prenagen ,positive
249,karna minum susu sgm anak saya makin super aktif supel cerdas pintar bisa bersosialisasi dgn temannya ,positive
250,hi wow jadikan selalu nabati meriah sebagai camilan kamu dan keluarga ya ,positive
251,hai bunda hatmasari drwskincare makassar terima kasih sudah share dan kepercayaan bunda menggunakan produk sgm bunda hamil dan menyusui semoga bunda sehat selalu ya ,positive
252,s26 pintarnya memang beda,positive
253,morinaga platinum is the best,positive
254,saya lupa no id aya mam dian,positive
255,mantap kopi kapal api kopi nya orang indonesia,positive
256,saya mau nanya nih anak saya usia nya tgl 7 nti pas 3 taun saya ganti dari chil kid ke chil school dia rada gak suka gitu lebih suka chil kid bagaimana ya minta pendapat nya terima kasih,negative
257,cis,positive
258,hi yuk langsung beli nabati wafer 50gr bertanda khusus varian apa saja temukan kode unik yang terdiri dari 9 digit kombinasi huruf angka di balik kemasan nabati wafer 50gr bertanda khusus varian apa saja pindai scan kode unik tersebut pada aplik lihat selengkapnya,positive
259,cemilan enak dan sehat bikin ketagihan harganya pun terjangkau,positive
260,kandungan nutrisi ny bagus,positive
261,kopi kapal api ny mimang mantapp dan harga terjangkao,positive
262, terlalu manis ga bagus,negative
263,susu sgm bunda memang bikin ketagihan dengan rasa nya yg manis ga bikin enek ,positive
264,wahai indomie goreng kesukaan ku ini curahan hati ku yang selalu kau phpin oleh bumbu mu saat aku lapar mau makan indomie goreng dan air nya udah mendidih trus aku cmpulng kan mie nya pas aku lihat loh ko bumbu nya hilang bumbu nya tidak ada dan begitu sering aku mndapat yang hoax atau zong kadang minyak nya yg gk ada kadang caos nya yang mngilng entah ke mana saat aku membutuhkan wahai indomie tolong jnggn sprti itu yah aku trllu rapuh untuk di phpin sprti ini tolong tingkat lihat selengkapnya,negative
265,pembodohan publik tentang kode promo ,negative
266,sebelumnya rutin minum m tapi kok bb naik drastis kata dokterku suruh ganti sgm bunda enak jg,positive
267,sgm ini bagus untuk pertumbuhan anak saya membuat anak saya bertambah berat badan yang anak menyukai sgm rasa madu yang manis sekali ,positive
268,rasanya memang mantulll bgt,positive
269,untuk membantu ibu memperoleh informasi yg baik tentang nutrisi baik buat anak,positive
